S/N,MTANDAO,GENDER,MARITAL_STATUS,DEPENDENTS,AGE,UNIVERSITY,DEGREE,EARNINGS,REGISTRATION,LOAN_BOARD,PAST_FREQUENCY,FUTURE_FREQUENCY,PROBLEM_SOLVING,EXCEPTIONAL_SERVICE_EXPERIENCE,VALUE_FOR_MONEY,PRICE_COMPARISON,WIDE_COVERAGE,CALL_DROPS,STRONG_SIGNALS,FREE_COMPLAINTS,SHARE_NEGATIVE_EXPERIENCE,HIGH_SWITCHING_COST,REDUCE_TRANSACTIONS,USUALLY_SWITCH_PROVIDERS,GET_THROUGH,DO_WHAT_THEY_SAY,TIMELY_EFFECTIVE_COMPLAINTS,HIGH_SWITCHING_ENERGY_TIME,FUTURE_TRANSACTIONS,LOYAL,FIRST_CHOICE
1,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.6,9,9,A,D,A,A,A,A,A,A,A,A,A,D,D,A,A,A,A,A,A
2,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.4,4,8,F,D,D,D,A,D,A,A,A,A,A,A,D,A,D,A,D,F,A
3,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,17,13,D,F,A,A,A,D,D,A,A,F,D,A,D,A,D,A,D,A,A
4,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,27,14,A,F,A,A,A,A,A,A,D,D,D,A,D,A,A,A,D,A,A
5,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,,1,6,6,A,F,F,A,A,A,A,A,A,A,D,A,D,D,D,A,D,A,A
6,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.2,11,11,F,A,A,F,A,D,A,D,A,D,D,D,A,D,F,A,D,D,A
7,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,0.5,20,20,D,D,D,A,A,D,D,D,D,A,A,D,D,A,D,D,D,A,A
8,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,ABOVE 1000000,2021,0,8,8,F,A,D,F,D,D,D,A,A,F,A,D,D,A,D,D,D,A,F
9,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,0.8,24,15,D,D,D,A,A,D,D,D,D,A,D,D,D,D,D,D,D,A,D
10,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.75,23,23,D,D,F,F,D,D,A,D,A,D,D,A,D,F,D,A,D,A,A
11,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,14,15,A,F,A,F,A,D,F,A,A,A,A,F,A,A,D,A,A,A,A
12,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2010,0,29,15,A,F,D,F,A,A,A,A,A,A,D,A,A,A,D,A,A,A,A
13,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.2,9,23,A,D,A,F,A,A,A,A,A,F,A,A,D,A,D,D,D,F,A
14,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,,0,23,23,F,F,A,F,A,A,D,D,A,A,D,D,D,A,A,D,A,A,A
15,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,6,6,D,D,F,F,D,D,D,F,A,A,A,A,D,A,A,D,A,F,A
16,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2019,0.62,15,15,A,D,D,F,A,D,D,A,A,A,D,D,D,A,A,A,A,A,A
17,TIGO,MALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2020,1,9,9,A,A,A,A,A,D,A,A,A,A,A,A,D,A,D,A,D,,
18,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2017,0.25,12,12,D,A,A,A,A,D,A,A,A,A,A,D,A,D,A,A,A,D,
19,VODA,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,450000-1000000,2012,0,23,22,A,F,A,F,A,D,A,A,A,D,A,F,A,F,A,F,A,A,
20,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.75,14,18,D,D,F,F,D,D,F,D,A,F,A,D,D,F,D,D,A,F,F
21,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,11,12,A,F,A,F,A,A,A,A,A,A,A,A,D,D,D,A,A,A,A
22,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2021,0.6,11,9,F,D,D,D,A,D,A,A,A,D,D,A,D,D,A,A,A,F,A
23,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,9,11,F,F,D,A,D,A,D,A,A,A,A,A,D,D,D,A,A,F,A
24,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,23,22,A,F,D,A,A,D,A,D,A,A,D,D,D,F,D,A,F,A,A
25,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.2,24,24,D,D,D,A,D,D,A,A,A,A,A,A,D,A,D,A,D,F,A
26,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.5,17,10,A,D,D,A,A,A,D,A,A,A,A,A,D,A,A,A,D,D,A
27,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2019,0.5,15,14,D,F,D,A,A,A,D,A,A,A,F,A,A,A,A,A,A,A,A
28,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.25,5,6,D,D,D,F,D,D,D,A,D,A,D,D,A,A,D,D,A,A,D
29,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,19,3,D,D,D,A,D,D,D,A,A,F,A,A,D,A,A,A,A,F,A
30,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2010,0,12,12,D,D,D,A,D,D,D,A,A,F,D,A,D,A,A,A,A,F,A
31,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2015,0.25,12,14,A,A,A,A,D,D,D,A,A,A,A,D,A,D,A,D,A,D,A
32,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2021,0,7,10,A,D,D,A,A,D,D,A,A,A,A,D,A,A,D,D,D,D,D
33,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.5,35,12,D,D,F,A,A,D,D,D,A,A,F,A,D,A,D,A,D,A,A
34,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2018,1,24,24,A,D,A,F,A,A,A,D,A,A,A,A,D,A,A,A,A,A,A
35,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2023,1,24,12,A,A,D,D,A,D,A,D,A,F,A,D,A,A,A,D,D,D,
36,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.99,,,A,D,F,F,A,A,A,A,D,D,D,A,A,A,D,A,A,,
37,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,,,A,D,A,A,A,D,D,A,D,A,A,A,A,A,A,D,A,A,A
38,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2021,0.25,8,4,A,D,F,F,A,A,A,A,D,A,D,A,A,A,A,A,,,
39,HALOTEL,MALE,MARRIED,3 TO 4,18-35,SUA,BACHELOR,ABOVE 1000000,,0.1,,,A,D,A,A,A,A,D,A,A,D,A,A,D,A,D,A,D,D,D
40,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.15,0,3,D,D,F,A,A,D,D,D,A,A,A,A,D,A,D,A,D,A,A
41,HALOTEL,FEMALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,18,18,D,D,D,D,D,A,D,D,A,D,A,A,D,D,D,A,D,D,A
42,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,0.25,15,12,D,D,D,A,D,D,A,A,A,A,A,D,A,A,A,A,D,A,A
43,AIRTEL,MALE,MARRIED,MORE THAN 4,18-35,SUA,BACHELOR,450000-1000000,2019,1,14,21,A,A,D,D,A,D,A,A,A,A,D,A,D,A,A,A,A,A,A
44,HALOTEL,FEMALE,MARRIED,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2021,0.25,27,30,F,F,F,A,A,A,A,A,A,A,A,D,A,A,A,A,A,A,A
45,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.21,36,18,F,F,F,A,A,A,A,A,A,A,A,D,A,A,A,A,D,A,A
46,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0.4,15,24,A,D,F,D,D,D,A,D,A,F,A,A,D,A,A,A,D,A,A
47,VODA,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,ABOVE 1000000,2011,0,12,3,D,F,F,F,A,D,A,D,A,A,D,A,D,D,D,A,D,,
48,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.5,20,20,A,A,F,F,D,D,A,D,A,D,A,A,A,A,A,A,A,A,A
49,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0,15,15,D,D,D,A,A,A,D,D,A,D,A,A,D,A,D,A,D,F,D
50,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,,2021,,16,18,D,D,F,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
51,AIRTEL,FEMALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2021,0,18,18,F,A,D,D,A,A,D,D,F,D,A,D,A,A,A,D,A,D,A
52,VODA,FEMALE,MARRIED,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2014,0,18,,A,A,A,A,A,A,A,A,A,A,A,D,A,A,A,D,A,A,A
53,HALOTEL,MALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2018,0,20,21,A,A,D,A,D,D,A,D,A,D,A,A,D,A,D,A,D,D,D
54,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.65,4,4,F,D,A,F,A,A,A,D,A,A,A,A,A,A,A,D,A,A,
55,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.25,46,70,D,D,D,D,A,D,A,A,A,D,A,A,A,A,A,D,A,A,A
56,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0.95,15,18,D,F,F,A,D,D,D,A,F,D,D,D,D,A,A,A,,,
57,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0,13,16,D,D,D,F,A,D,A,A,A,A,D,D,A,A,A,A,A,A,A
58,TIGO,FEMALE,MARRIED,MORE THAN 4,18-35,SUA,BACHELOR,450000-1000000,2008,0,3,3,A,F,D,A,D,D,A,D,A,D,A,A,D,D,D,D,D,A,D
59,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.25,12,12,D,D,D,A,A,D,D,A,A,A,A,D,D,A,D,D,A,A,A
60,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2019,1,12,12,A,A,D,D,D,D,D,A,A,A,A,D,D,D,D,A,D,D,D
61,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,21,18,A,A,F,A,A,A,F,F,A,A,F,A,D,A,A,A,F,F,A
62,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2014,1,3,3,D,D,F,F,D,D,F,A,A,D,D,D,D,F,A,F,D,F,D
63,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0,24,24,A,D,F,A,A,D,A,A,A,A,A,D,D,D,A,A,A,A,
64,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,12,12,A,A,A,A,A,D,A,A,A,A,D,A,A,A,A,A,A,A,A
65,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0,9,9,A,D,A,D,D,D,A,D,A,A,A,D,D,D,D,A,A,D,A
66,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,0,19,13,A,D,F,F,D,D,A,A,A,A,A,D,D,A,D,A,A,,
67,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,13,13,A,D,A,A,A,D,D,A,A,A,D,F,D,A,D,A,A,D,D
68,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0,27,15,A,D,D,F,A,D,D,A,A,A,D,F,A,A,D,A,D,D,A
69,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,12,12,D,D,A,A,D,A,D,A,A,A,D,D,A,A,A,D,A,A,
70,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,15,15,D,D,A,D,A,A,D,A,A,A,D,D,A,A,A,D,A,A,
71,VODA,FEMALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2021,0.75,12,12,F,F,D,F,D,A,D,D,A,F,A,A,D,D,F,A,A,A,
72,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0,17,,A,A,D,F,A,D,A,A,A,A,A,D,D,A,A,A,D,A,A
73,HALOTEL,MALE,MARRIED,MORE THAN 4,36-50,UDSM,PHD,ABOVE 1000000,2019,0,0,0,D,D,D,F,D,A,D,D,A,D,A,D,F,D,D,A,D,D,D
74,TIGO,MALE,MARRIED,MORE THAN 4,36-50,UDSM,PHD,ABOVE 1000000,2021,0,27,27,D,D,D,F,A,A,A,F,A,F,F,D,F,F,F,A,D,D,A
75,AIRTEL,MALE,MARRIED,MORE THAN 4,36-50,UDSM,PHD,ABOVE 1000000,2014,0,2,2,D,D,A,F,F,A,F,F,A,F,D,D,F,F,F,A,A,D,D
76,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2023,,9,11,A,,,A,F,A,SD,A,F,A,F,A,A,A,F,A,A,F,A
77,HALOTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,,,,,,,,,,,,,,,,,,,,,
78,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,9,9,A,F,SA,A,D,SD,A,SA,F,F,F,A,D,SA,D,D,SA,SA,A
79,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,,9,9,D,D,A,D,A,D,D,A,A,A,A,D,A,D,A,A,A,D,
80,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,15,17,A,D,F,SA,D,A,F,SA,D,A,SA,SA,D,A,A,SD,D,F,D
81,VODA,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2020,0,16,24,A,A,D,A,F,SA,SD,F,F,A,A,D,SA,SA,SA,F,D,A,A
82,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,14,6,D,A,D,SA,D,SD,D,A,A,D,A,D,SA,D,SD,D,A,D,F
83,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,15,15,F,F,F,A,SA,A,F,D,SD,F,F,F,D,F,SA,SA,F,F,F
84,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,33,27,F,SD,SD,A,A,SA,A,D,D,A,F,A,F,F,D,D,A,D,A
85,VODA,MALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2022,1,12,10,F,D,F,A,A,A,A,SA,A,A,D,D,A,SA,SA,F,F,A,SA
86,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,,15,31,F,SD,SD,A,A,SA,A,D,A,F,D,A,F,F,D,D,A,D,A
87,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0.5,16,6,D,A,D,A,A,D,D,D,A,D,A,D,SA,D,SD,D,A,D,F
88,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,18,18,SD,SA,F,A,SA,F,SA,A,F,SA,SD,F,,,,,,,
89,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,0,19,7,A,SA,A,A,D,D,SA,SA,SD,A,SA,SD,SA,A,A,D,SA,A,A
90,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,,14,15,F,SD,SA,SA,SA,SA,SA,SA,F,F,F,F,F,SA,SA,SA,SA,SA,F
91,VODA,MALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2022,1,15,10,D,SD,A,A,A,D,A,A,SA,SA,SA,A,D,SA,A,SA,SA,A,SA
92,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,22,12,F,F,A,A,D,D,F,F,F,F,A,SA,SA,SA,SA,SA,,,
93,TIGO,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2021,,11,14,D,SD,F,A,SA,D,SD,D,F,SA,SA,D,F,SD,A,D,SD,F,SA
94,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,,2020,1,29,49,SD,D,A,F,SA,F,D,SD,A,SD,D,A,D,F,SD,D,SA,D,A
95,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,,3,3,SD,F,A,A,A,F,A,A,F,D,A,F,D,SD,A,F,,,
96,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2015,0,20,21,D,A,SA,SA,SA,D,A,SA,D,D,D,D,SA,SA,SA,SA,A,SA,SA
97,VODA,FEMALE,SINGLE,0 TO 2,36-50,SUA,BACHELOR,BELOW 450000,2020,1,33,36,D,F,D,D,F,SA,A,D,SD,SD,F,D,SA,SD,F,D,A,D,SD
98,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,15,13,A,F,SD,D,SA,F,F,A,F,F,F,D,D,F,SA,SA,F,F,F
99,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2017,1,12,9,SD,F,A,SA,D,F,A,SD,F,A,SD,SD,F,A,SA,SD,A,F,SD
100,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2014,,30,28,F,SA,F,SD,A,A,F,SA,SA,A,A,F,F,SA,SA,SA,A,A,A
101,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,,33,42,D,SD,F,A,SA,SD,SA,SA,A,A,F,F,A,SD,A,A,A,A,SA
102,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,,24,24,A,F,SD,D,SA,F,F,F,F,F,A,SA,F,SD,F,F,F,F,F
103,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,,,,,,,,,,,,,,,,,,,,,,
104,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,,20,14,D,F,A,F,A,A,SD,A,A,A,SD,F,D,A,SD,A,A,A,A
105,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,,0,3,SD,F,A,A,A,D,A,D,A,D,A,F,A,D,A,A,D,A,A
106,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,,3,0,A,A,SA,D,A,D,A,A,A,D,A,D,A,A,D,D,SD,D,
107,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,,15,3,D,A,D,SD,D,SA,D,A,F,A,D,SD,SA,D,F,A,SA,A,D
108,VODA,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,,,6,6,SD,D,SD,A,D,A,D,A,F,D,F,F,D,A,SD,D,A,SD,D
109,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,,18,15,F,SA,F,F,F,A,D,SA,A,F,A,F,F,SA,F,A,F,A,F
110,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2022,,12,33,A,SA,,F,A,SA,F,,D,A,D,A,F,,D,A,D,F,A
111,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,,19,24,SD,F,A,SA,SA,D,SD,A,SD,A,SD,SD,SD,F,SA,A,A,F,SD
112,AIRTEL,MALE,MARRIED,0 TO 2,18-35,MUM,BACHELOR,450000-1000000,2009,1,39,51,SD,SD,D,A,A,D,D,D,A,D,A,D,A,D,D,A,A,D,A
113,VODA,MALE,MARRIED,MORE THAN 4,36-50,SUA,BACHELOR,ABOVE 1000000,2008,0,24,24,F,F,A,F,F,A,SD,SD,A,F,F,SA,D,A,A,SA,F,D,F
114,VODA,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,,1,5,7,F,A,SA,D,SA,A,SD,SD,F,D,A,SA,SD,SA,A,SA,F,SD,F
115,AIRTEL,MALE,SINGLE,3 TO 4,,SUA,BACHELOR,BELOW 450000,2018,1,,,SD,F,F,SD,D,A,F,SD,A,D,SD,SA,SD,F,SD,D,D,SD,SD
116,TIGO,MALE,SINGLE,3 TO 4,,SUA,BACHELOR,BELOW 450000,2019,1,3,2,F,A,D,A,D,A,F,D,A,F,SD,SA,SD,F,D,A,A,D,D
117,VODA,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2021,1,13,22,F,D,SD,SA,SD,A,SD,SD,A,F,SD,F,A,SD,SA,SA,SA,SA,SA
118,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2021,1,14,21,F,A,D,A,A,A,F,F,A,D,F,A,A,A,D,A,SD,F,A
119,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2010,1,,21,F,A,A,A,SA,F,F,A,SA,A,D,A,A,SA,A,A,A,A,A
120,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,,,A,A,SA,SA,SA,SA,SD,A,D,F,SD,SA,A,F,A,D,SA,SA,SA
121,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,4,4,SD,F,F,D,F,SD,D,A,D,F,D,A,D,F,A,F,F,A,F
122,VODA,MALE,SINGLE,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2020,1,20,22,F,F,SD,SD,D,A,SD,SA,A,A,A,SD,SD,A,D,SA,A,SA,A
123,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,0,25,27,F,D,A,SD,A,D,A,D,A,D,A,SA,SD,SA,SA,SA,SD,SD,SD
124,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,21,21,F,F,SD,SA,SA,SA,SA,SA,SA,SA,SD,SA,SD,F,F,A,SA,SA,SD
125,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,1,2,F,F,F,SD,SA,A,D,F,F,F,F,F,F,F,F,F,F,F,F
126,TIGO,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,12,12,A,A,D,A,A,A,SD,D,D,D,A,SA,F,A,A,A,A,A,SA
127,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,45,,SA,A,A,A,SA,SA,F,D,F,F,SA,A,A,D,A,F,F,F,A
128,AIRTEL,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,12,16,A,A,D,F,A,A,SD,SD,D,D,A,SD,A,A,A,SA,F,A,F
129,VODA,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,450000-1000000,2020,1,19,3,F,D,F,A,A,A,A,A,SA,SA,F,A,A,A,A,SA,A,A,F
130,TIGO,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2022,1,18,23,D,D,SD,F,SD,A,F,D,A,F,A,D,A,F,F,A,F,D,F
131,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2016,1,7,,A,F,D,F,SA,A,D,SD,D,D,A,A,F,A,F,SA,D,F,F
132,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,1,22,20,SD,D,SD,A,A,SD,F,A,A,A,D,A,D,SA,F,SA,A,D,A
133,HALOTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,27,27,D,F,SD,F,SA,A,F,A,F,SD,F,D,A,F,A,SA,F,D,A
134,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2020,0.8,31,27,F,D,SD,F,A,A,A,A,A,A,D,D,A,A,D,SA,D,A,A
135,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2018,1,,,F,F,D,F,D,A,A,A,A,SD,SA,D,D,A,A,SA,SD,SD,SD
136,VODA,FEMALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,1,30,30,A,A,SD,D,A,A,D,SD,A,A,A,A,D,A,D,A,F,F,F
137,TIGO,FEMALE,SINGLE,3 TO 4,18-35,SUA,BACHELOR,BELOW 450000,2020,1,21,0,D,D,SD,D,A,A,F,D,A,F,A,A,SD,A,D,A,F,F,F
138,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0,23,12,A,A,D,D,A,A,F,D,A,F,A,A,D,A,A,SA,F,A,SA
139,AIRTEL,MALE,SINGLE,0 TO 2,18-35,SUA,BACHELOR,BELOW 450000,2019,0,25,15,D,D,D,F,A,D,A,A,A,A,A,A,SD,A,A,A,A,D,A
140,VODA,MALE,MARRIED,MORE THAN 4,18-35,SUA,BACHELOR,BELOW 450000,2016,1,25,18,F,A,SD,F,SA,A,D,SD,F,D,A,A,A,D,D,A,A,SA,A
